"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
150,615.538071236123,"BMT","UCB",0.259971897624407,8.901852084168,NA,0.18206245250101,0.00673797499265849,NA,23,"Adolescent",276,"Smooth","[18,25)"
151,784.328942278142,"BMT","UCB",0.0570437704580324,0.487010514325221,NA,11.523435847194,0.0620196695427437,NA,14,"Adolescent",168,"Smooth","[14,18)"
1,713.652174848636,"BMT","GM",0.142014622021874,4.09014995770975,NA,NA,0.0657365284690463,NA,11,"Adolescent",132,"Smooth","[11,14)"
2,823.866237292418,"BMT","GM",0.00951022091864828,3.03861684064595,NA,NA,0.189265953386421,NA,10,"Adolescent",120,"Smooth","[9,11)"
3,691.392265326104,"BMT","GM",0.168776506254203,3.57697452621787,NA,NA,0.0777796127422995,NA,12,"Adolescent",144,"Smooth","[11,14)"
4,796.657886571483,"BMT","GM",0.0422213481318654,10.9697805408632,NA,NA,0.0259629214402522,NA,10,"Adolescent",120,"Smooth","[9,11)"
5,831.776936782164,"BMT","GM",-3.84851200907477e-07,54.5981500133667,NA,NA,54.598149978731,NA,12,"Adolescent",144,"Smooth","[11,14)"
6,763.059506242688,"BMT","GM",0.0826148620337437,2.66668237843029,NA,NA,0.115305812004054,NA,12,"Adolescent",144,"Smooth","[11,14)"
7,831.776715200415,"BMT","GM",-1.18455458775202e-07,54.5981500014833,NA,NA,54.5981499735103,NA,12,"Adolescent",144,"Smooth","[11,14)"
8,831.776913784567,"BMT","GM",-3.57202434742021e-07,54.5981500024722,NA,NA,54.5981499142094,NA,11,"Adolescent",132,"Smooth","[11,14)"
9,453.062461864214,"BMT","GM",0.455307527546294,1.51464699726193,NA,NA,0.0764556084760916,NA,11,"Adolescent",132,"Smooth","[11,14)"
10,831.776916223826,"BMT","GM",-3.60135023802499e-07,54.5981500027359,NA,NA,54.5981499310641,NA,10,"Adolescent",120,"Smooth","[9,11)"
11,831.776876814125,"BMT","GM",-3.12754873554866e-07,54.5981500028407,NA,NA,54.5981499195784,NA,10,"Adolescent",120,"Smooth","[9,11)"
12,831.776783400089,"BMT","GM",-2.00448234899397e-07,54.5981500010921,NA,NA,54.5981499932004,NA,11,"Adolescent",132,"Smooth","[11,14)"
13,617.248265900319,"BMT","GM",0.257915823156915,11.0370371617278,NA,NA,0.0155839799921905,NA,11,"Adolescent",132,"Smooth","[11,14)"
14,687.572512842602,"BMT","GM",0.173368787892012,14.7829696898206,NA,NA,0.00673794699942198,NA,12,"Adolescent",144,"Smooth","[11,14)"
15,662.768952734494,"BMT","GM",0.203188765528978,14.2985004693957,NA,NA,0.00982570694984191,NA,12,"Adolescent",144,"Smooth","[11,14)"
16,787.764417680707,"BMT","GM",0.0529134843527181,2.66619080486813,NA,NA,0.119548974759028,NA,12,"Adolescent",144,"Smooth","[11,14)"
17,761.387580761828,"BMT","GM",0.0846249275337219,7.76321915721132,NA,NA,0.0360319807614644,NA,12,"Adolescent",144,"Smooth","[11,14)"
18,285.793252200581,"BMT","GM",0.656406243608911,1.69561454960656,NA,NA,0.0213180465454003,NA,11,"Adolescent",132,"Smooth","[11,14)"
